Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Full Description,Twitter,Facebook,LinkedIn,Primary Job Title,Primary Organization,Investor Type,Investment Stage,CB Rank (Investor)
David Selinger,https://www.crunchbase.com/person/david-selinger,2,1,"San Francisco, California, United States","David Selinger founded RichRelevance in 2006 to give retailers the most advanced personalization platform for transforming customer data into extraordinary consumer experiences. RichRelevance is ranked #1 for personalization in both the Internet Retailer 500 and Internet Retailer EU 250, and currently drives over one billion real-time decisions every day. David has led the company through four acquisitions and introduced multiple product lines to create new business value from data through personalization. Both RichRelevance and David (known as Selly to his friends and colleagues) are known for their innovation in this space—delighting consumers, generating revenue and profit for retailers, and creating an award-winning company; RichRelevance has been recognized by numerous publications as a top place to work by employee surveys. An early pioneer in data analytics and personalization, David previously led the research and development arm of Amazon’s Data Mining and Personalization team. In that role, David developed and deployed three new recommender systems that increased Amazon’s annual profit by over $50 million (25% of US profit, 2003), setting the industry standard for recommendation services. David also cofounded Redfin, a venture backed, industry-leading real estate search/brokerage company, where he helped to build the world’s first real-time mapping and real estate data analytics engine. Recognized as a “40-under-40” innovator in the San Francisco region and amongst direct marketers, David holds a broad collection of patents in customer segmentation, analytics and data mining, including over a dozen pioneered at RichRelevance. He received his BS in Computer Science from Stanford University, and is active in social change, serving on the board of directors of Potential Energy, and as an advisor to the Family Giving Tree, Fostering Change for Children and Solace International.",http://twitter.com/daveselinger,,http://www.linkedin.com/in/selly,Co-Founder & CEO,Deep Sentinel,Individual/Angel,Seed,"42,511"
Debanjan Mukherjee,https://www.crunchbase.com/person/debanjan-mukherjee,,,"San Francisco, California, United States","Debanjan Mukherjee is an engineer, innovator and technologist. He has diverse background in consumer electronics, embedded software and mobile product development. At Apple, he co-invented force sensing multi-touch trackpad with haptic feedback which adds a new dimension to human-computer interaction. He also built the first prototype of Apple pencil. At Amazon, he led early development of sensor technologies for Amazon Go stores and built new category of internet connected consumer devices like Dash wand and Dash button, which simplify shopping. Currently he leads sensor and health technology development for consumer products at Google. Debanjan is an active angel investor with 1 in every 3 investments currently at $100M+ valuations. Notable investments: Instacart, Grubmarket, Triller, Flutterwave, Plastiq, Billiontoone. Debanjan received MS in electrical and computer engineering from Georgia Institute of Technology and BTech in electronics from Indian Institute of Technology, Kharagpur. He has 50+ US patents and 40+ pending. He enjoys learning new things, mentoring and playing with his kids.",,,https://www.linkedin.com/in/debanjan,,,,"Early Stage Venture, Seed","81,185"
Debra Farber,https://www.crunchbase.com/person/debra-farber,,,"Portland, Oregon, United States","Debra J. Farber is a global privacy thought leader, advisor, consultant, and angel investor with 16+ years of privacy & security leadership experience in the tech sector, including at Amazon, AWS, BigID, Visa, TrustArc, IBM, & American Express. Debra serves on several tech Advisory Boards, such as The Rise of Privacy Tech, D-ID, Privacy Request, and Sibly, among others. As a Consultant, Debra guides privacy-1st tech companies on: product-market fit; go-to-market strategy; effectively selling to the CPO, DPO, CISO, & CDO; privacy-by-design & default strategies; and product marketing messaging. As an Angel investor, Debra invests in disruptive business models and privacy-1st technology. She recently made her first two Angel investments in Blotout and Joyn Social Media. Debra is also an Active Investor on the Republic & Wefunder crowdfunding platforms.",https://twitter.com/privacyguru,https://www.facebook.com/privacyguru,https://www.linkedin.com/in/privacyguru/,,,,"Crowdfunding, Seed","58,152"
Deepak Joy Cheenath,https://www.crunchbase.com/person/deepak-joy-cheenath,,,"Bengaluru, Karnataka, India",Deepak Joy Cheenath is the Co-Founder of Quizizz.,,,https://www.linkedin.com/in/dcheenath/,Co-Founder,Quizizz,,,"59,513"
Dennis Pilarinos,https://www.crunchbase.com/person/dennis-pilarinos,2,,"Vancouver, British Columbia, Canada","Dennis is currently a Director of Development Technologies at Apple. He joined Apple after selling his company (buddybuild) in Jan 2018. Buddybuild is a mobile focused continuous integration, deployment and user feedback platform used by tens of thousands of development teams around the world. Prior to buddybuild, Dennis held product and engineering leadership roles at Amazon, building and running the teams responsible for the Silk Web browser UI for the Kindle Fire Tablet and Fire Phone devices. Prior to his time at Amazon, he spent 9 years at Microsoft and founded the Azure teams focused on defining, building, delivering, and operating the Messaging, Access Control and Workflow offerings of Microsoft’s cloud services platform.",https://twitter.com/dennispilarinos,https://www.facebook.com/dennispi,https://www.linkedin.com/in/dennispi,,,Individual/Angel,Seed,"69,769"
Diego Piacentini,https://www.crunchbase.com/person/diego-piacentini,3,,"Greater Seattle Area, Washington, United States","Diego Piacentini has served as Senior Vice President, International Consumer Business, since February 2012. From January 2007 until February 2012, Diego Piacentini served as Senior Vice President, International Retail, from November 2001 until December 2006, he served as Senior Vice President, Worldwide Retail and Marketing and, from February 2000 until November 2001, he served as Senior Vice President and General Manager, International. Prior to joining Amazon.com, Piacentini was Vice President and General Manager of Apple Computer Europe, where he headed operations for Europe, the Middle East and Africa. Piacentini joined Apple Computer in 1987. He held several financial management positions both in Apple Italy and at a European level through 1993. Piacentini served as Sales Director for Apple Italy in 1994 and was promoted to the post of General Manager for Apple Italy in May 1995. Piacentini holds a degree in economics from Bocconi University of Milan. An Italian national, he has traveled and worked across Europe, Asia and North America.n Senior Vice President of International Consumer at Amazon.com Inc. since February 2012.",https://twitter.com/diegopia,,https://www.linkedin.com/in/diego-piacentini/,,,Individual/Angel,,"48,780"
Doug Pepper,https://www.crunchbase.com/person/doug-pepper,2,2,"San Francisco, California, United States","Doug Pepper has been with Shasta Ventures since 2016, investing in SaaS and mobile startups.   Previously, Doug was with InterWest Partners for 15 years, rising from associate to General Partner.Doug was the first investor in Marketo (NASDAQ: MKTO) and served on the board of directors for 10 years.  He also invested in Optimizely, Flurry, Spredfast, Tapjoy, INVIDI and Appboy.  Prior to joining InterWest, Doug worked in business development at Amazon.com.  Before Amazon.com, he was a financial analyst at Goldman Sachs in New York focusing primarily on technology and healthcare. In this role, he also spent time in Hong Kong, working with technology clients in China, India and Korea. Doug received his B.A. from Dartmouth College and M.B.A. from Stanford University.",http://twitter.com/dougpepper,http://www.facebook.com/dougpepper,http://www.linkedin.com/in/dougpepper,General Partner,ICONIQ Capital,"Investment Partner, Individual/Angel",Seed,"21,561"
Ed Feitzinger,https://www.crunchbase.com/person/ed-feitzinger,,,"Palo Alto, California, United States",,,,https://www.linkedin.com/in/ed-feitzinger-15589/,,,,,"184,601"
Eric Harber,https://www.crunchbase.com/person/eric-harber,1,,"Bellevue, Washington, United States",,,,https://www.linkedin.com/in/ericharber,,,Individual/Angel,,"178,513"
Erin Breslin,https://www.crunchbase.com/person/erin-breslin,,,"Seattle, Washington, United States","Erin B. is a Global Head of Product, Design, and Content Operations for Merch by Amazon.Erin attended The Tuck School of Business at Dartmouth.",https://twitter.com/erinfernbreslin,,https://www.linkedin.com/in/erin-b-2407533/,"Head of Product, Design, and Content Operations for Merch by Amazon",Amazon,,,"53,569"
Felix Anthony,https://www.crunchbase.com/person/felix-anthony,2,,,"Felix Anthony was most recently Vice President, Kindle at Amazon.com and was responsible for Kindle Software, Kindle Product Management, Kindle User Interface and the Digital Platform for media products like mp3 and streaming video. In his 12 years at Amazon.com, he was Vice President for Ordering in the e-Commerce platform team and Vice President for Fulfillment Systems in the Operations and Logistics team. Prior to Amazon, he was an entrepreneur and has been a software developer in Graphics, Systems Management, Education, Finance and Developer tools at various companies on the east coast. Currently he pursues his interests in Physics, Culture travel and Art. He is also an angel investor, mentor and advisor to startups in the US and in India. He has a Master’s degree from the Indian Institute of Technology, New Delhi.",,,http://www.linkedin.com/in/felixfanthony,Investor & Board Member,Easy Metrics,Individual/Angel,Seed,"69,304"
Frank Chang,https://www.crunchbase.com/person/frank-chang-3,,,"Seattle, Washington, United States",Frank Chang is the Co-Founder and Managing Partner at Flying Fish Partners.,,,https://www.linkedin.com/in/frankzchang/,Co-Founder & Managing Partner,Flying Fish Partners,Investment Partner,,"69,303"
Gaurav Jain,https://www.crunchbase.com/person/gaurav-jain-2,,,"San Francisco, California, United States","Gaurav Jain is the Co-founder and Managing Partner of Afore Capital and an Investor at Modern Health, Flatfile, Petal, BenchSci, and Sinai Technologies. Prior to that, he was the Principal at Founder Collective.",,,https://www.linkedin.com/in/gjainvc/,Co-founder & Managing Partner,Afore Capital,Investment Partner,Early Stage Venture,"27,173"
George Stathakopoulos,https://www.crunchbase.com/person/george-stathakopoulos,,,"Seattle, Washington, United States",,,,https://www.linkedin.com/in/george-stathakopoulos-85173020,Vice President of Corporate Information Security,Apple,,,"50,362"
Glenn Butcher,https://www.crunchbase.com/person/glenn-butcher,1,,"Sydney, New South Wales, Australia",,https://twitter.com/gbutcher,,https://www.linkedin.com/in/glennbutcher/,Venture Partner,CP Ventures,Individual/Angel,Seed,"95,842"
Greg Greeley,https://www.crunchbase.com/person/greg-greeley,1,,"Seattle, Washington, United States","Greg is the President and COO of Opentrons. He was the Vice President for Amazon Prime and Delivery Experience of Amazon before that. Mr. Greeley attended the University of California, Berkeley, Haas School of Business and earned an MBA degree in International Business, Technology, and Finance. He also attended the University of Southern California and the University of Washington.",,,https://www.linkedin.com/in/greg-w-greeley-79a4aa,President and COO,OpenTrons,Individual/Angel,,"16,998"
Greg Heuss,https://www.crunchbase.com/person/greg-heuss,,,"Seattle, Washington, United States","As a serial entrepreneur Greg has been involved with technology companies for over 20 years and has helped build some of the largest brands in the world. He got his first taste of the start-up world when Amazon actually was a start-up, in 1998, where he led the sales and marketing efforts of new product, brand and special events. Greg later went on to help create Kiss.com which he pioneered the sale of, to Match.com – an IAC holding. He later helped build and direct multiple companies to a point of merger, sale and/or public offering. He has a deep background in mobile and location based technologies and has always been on the cutting edge of consumer trends and technology. As one of the many at Artifact with a music background, he too began his career in the music and entertainment industry promoting bands such as U2, the Rolling Stones and Garth Brooks to name a few.",https://twitter.com/grh2323,,https://www.linkedin.com/in/greg-heuss-48a377,Managing Partner,Reflective Venture Partners,Investment Partner,,"101,459"
Guarav Oberoi,https://www.crunchbase.com/person/guarav-oberoi,,,"Seattle, Washington, United States",Guarav Oberoi is the CEO & Co-founder of Lexion.ai. He previously worked at Allen Institute for Artificial Intelligence (AI2) as an Entrepreneur In Residence. Guarav Oberoi attended Rice University.,https://twitter.com/goberoi,https://www.facebook.com/gauravo,http://www.linkedin.com/in/goberoi,CEO & Co-founder,Lexion,,,"75,896"
Hayley Barna,https://www.crunchbase.com/person/hayley-barna,3,,"New York, New York, United States","Hayley Barna is a Venture Partner at First Round Capital based in New York. Prior to joining First Round she co-founded Birchbox, the leading beauty and grooming retailer seed funded by First Round in 2010. She served as Co-CEO at Birchbox for five years from conception and launch to growing the business to over a million monthly subscribers. She raised over $70M in venture capital, expanded the business internationally and launched new businesses and channels like men's and retail stores. Hayley oversaw key functions including marketing, operations, strategy and technology. Before launching Birchbox in 2010, Hayley received her MBA from Harvard Business School. She started her career as a strategy consultant at Bain & Company in New York. She also spent time at two very different ends of the retail spectrum through her roles in strategy at Christie’s in Hong Kong and product management at Amazon in Seattle. In addition to her current role at First Round, Hayley is a board member at Birchbox, RAB Lighting and Madison Reed.",http://twitter.com/hayleybay,https://www.facebook.com/hbarna,http://www.linkedin.com/in/hbarna,Partner,First Round Capital,"Investment Partner, Individual/Angel",Seed,"32,619"
Himanshu Periwal,https://www.crunchbase.com/person/himanshu-periwal,3,,"New Delhi, Delhi, India","Himanshu is the Co-Founder at unlu / unluclass, an online learning & collaboration platform for creators. He has worked with Amazon, Bain & Company, ixigo over the last 10 years. He was the VP Growth at ixigo, helping it grow transactions by 23x over 3 years. At Amazon, he was part of the team that launched it in India and was its' first Product Marketing Manager. Prior to that, he worked with Bain & Company on various Private Equity, Fin-tech, Retail sector mandates. A graduate of IIM Calcutta, he is also a Product Management Faculty at upGrad, a Start-up Advisor at NASSCOM, GSV Labs, TechStars and has been associated with over 20 start-ups as a Mentor/Investor/Consultant. Himanshu has also been on the stage for various events at IAMAI, Google, Facebook, Branch.io, Netcore, SATTE, HiFi, Clevertap, IIM Calcutta, MDI Gurgaon, Delhi University, Nirma University, BITS Pilani, Growth Folks, Headstart, etc.",,,https://www.linkedin.com/in/himanshuperiwal,Co-founder,unlu,Individual/Angel,,"19,864"
Howard Grimberg,https://www.crunchbase.com/person/howard-grimberg,,,"New York, New York, United States",Howard Grimberg is a Senior Software Engineer at Lyft. Howard Grimberg attended The University of Kansas.,,,https://www.linkedin.com/in/hgrimberg01,Senior Software Engineer,Lyft,,Seed,"113,111"
Ian Freed,https://www.crunchbase.com/person/ian-freed,1,,"Seattle, Washington, United States",,,,https://www.linkedin.com/in/ifreed,CEO,Bamboo Learning,Individual/Angel,Seed,"135,956"
Ian Sefferman,https://www.crunchbase.com/person/ian-sefferman,,,"Detroit, Michigan, United States",Ian Sefferman is a co-founder at  Goodbill. He attended the University of Chicago.,http://twitter.com/iseff,,http://www.linkedin.com/in/iseff,Co-founder,Assembler Labs,,,"73,613"
Ishan Mukherjee,https://www.crunchbase.com/person/ishan-mukherjee,1,,"San Francisco, California, United States","Ishan led Siri’s Knowledge Graph product team at Apple after the acquisition of Lattice Data, a Stanford based ML startup where he led Product and GTM. He has a Masters from MIT and has led product leadership roles at Amazon Robotics, Kiva Systems and Premise.",https://twitter.com/ishanmkh,,https://www.linkedin.com/in/ishanm,GVP Product GTM,New Relic,Individual/Angel,Seed,"79,823"
Israel Ganot,https://www.crunchbase.com/person/israel-ganot,,,"Boston, Massachusetts, United States","Partner at Aviv Growth Partners (AGP), Advisor at FloorSight & Member at YPO.",http://twitter.com/iganot,https://www.facebook.com/gazelle.com,https://www.linkedin.com/in/iganot/,General Partner,Aviv Growth Partners,Investment Partner,,"31,638"
Itamar Lesuisse,https://www.crunchbase.com/person/itamar-lesuisse,,,,"Itamar is the co-founder and CEO of Argent.  Prior to Argent, Itamar founded and led Peak, the top ranked mobile cognitive training service with over 50,000,000 users and 500,000 subscribers. Itamar led Peak to a profitable 8 digit per year business. He successfully sold it to Lagardere SCA in 2016. Before Peak, Itamar worked at Boston Consulting Group, Amazon and VISA. He holds a Masters in Computer Science and Electronics Engineering.",http://twitter.com/itamarl,http://www.facebook.com/itamarl,http://www.linkedin.com/in/itamar,,,,,"22,032"
James Chen,https://www.crunchbase.com/person/james-chen-641e,,,"United States, North America","Chief Technology Officer at Flexport, Startup Founder (2 exits), Angel Investor. Attended Massachusetts Institute of Technology.",https://twitter.com/mitnerd,https://www.facebook.com/james.chen,https://www.linkedin.com/in/mitnerd/,CTO,Flexport,,,"69,996"
James Chivers,https://www.crunchbase.com/person/james-chivers,,,"Greater Seattle Area, Washington, United States","James Chivers is a Software Engineering Manager at Apple. He Attended City University, London.",http://twitter.com/jchivers,,http://www.linkedin.com/in/jchivers,Software Engineering Manager,Apple,,,"149,204"
James Peck,https://www.crunchbase.com/person/james-peck,1,,"London, England, United Kingdom",James Peck is a Managing Director -UK of Jobandtalent.,,https://www.facebook.com/peckjg,https://www.linkedin.com/in/peckjg,,,Individual/Angel,Seed,"150,680"
Jamie Swango,https://www.crunchbase.com/person/jamie-swango,2,,"London, England, United Kingdom",Jamie Swango is the Partner at The Craftory. She attended Columbia Business School.,https://twitter.com/jamiekswango,https://www.facebook.com/jamie.k.swango,https://www.linkedin.com/in/jamie-swango-b6359110/,Craft Partner,The Craftory,Individual/Angel,,"36,484"
Jasenka Gracic,https://www.crunchbase.com/person/jasenka-gracic,,,"Seattle, Washington, United States",Jasenka Gracic is the Senior Product Designer at Launch Consulting Group. Jasenka Gracic attended the University of Washington.,http://twitter.com/iamjasenka,,https://www.linkedin.com/in/iamjasenka,Senior Product Designer,Launch Consulting Group,,Seed,"165,345"
Jason Child,https://www.crunchbase.com/person/jason-child,1,,"San Francisco, California, United States","Jason Child is the former chief financial officer of Opendoor. Jason has spent nearly two decades of building and scaling online commerce platforms. As CFO, International at Amazon he managed more than $25 billion in international business with Germany, the UK, France, Italy, Spain, Japan, and China. More recently, he worked as CFO of Groupon, leading the company’s IPO and growth from $700 million to $7 billion. Jason has bought and sold nearly a dozen residential properties and knows the frustrations of the traditional process firsthand.  Child studied at the University of Washington, where he is currently a member of the global advisory board of the [University of Washington](https://www.crunchbase.com/organization/university-of-washington#/entity).",,,https://www.linkedin.com/in/iw3dlyw7/,CFO,Splunk,Individual/Angel,,"45,022"
Jason Kilar,https://www.crunchbase.com/person/jason-kilar,2,2,"San Francisco, California, United States","Jason Kilar served as the founding CEO of Hulu from 2007 until April 2013. Jason oversaw the development of Hulu from original concept to the award-winning online video service it is today. Prior to Hulu, Jason served for 9 years in a variety of senior leadership roles with Amazon, including vice president and general manager of Amazon’s North American media businesses, which included the company’s books, music, and video categories. He later served as senior vice president, Worldwide Application Software where he led a world-class team of technologists and innovators. Kilar began his career with The Walt Disney Company, where he worked for Disney Design Development. He received his M.B.A. from Harvard Business School and graduated Phi Beta Kappa from The University of North Carolina at Chapel Hill. Jason also serves on the Board of Brighter, a company focused on bringing transparency to the dental industry and on the Board of Management Leadership for Tomorrow, an innovative non-profit focused on solving the under-representation of minorities in leadership positions.",http://twitter.com/jasonkilar,,http://www.linkedin.com/in/jasonkilar,CEO,WarnerMedia,Individual/Angel,Seed,"40,016"
Jeff Bezos,https://www.crunchbase.com/person/jeff-bezos,34,14,"Seattle, Washington, United States",Jeffrey Preston Bezos is the Founder of Amazon.,https://twitter.com/jeffbezos,https://www.facebook.com/Jeffamazon123,https://www.linkedin.com/company/jeff-bezos-today,Founder,Amazon,"Investment Partner, Individual/Angel",Seed,"10,176"
Jeff Holden,https://www.crunchbase.com/person/jeff-holden,,,"San Francisco, California, United States","Jeff Holden was the Senior Vice President of Product Management of Groupon since April 2011.  Prior to joining Groupon, Jeff was the CEO and co-founder of Pelago, whose flagship product, Whrrl, was designed to help people get out of a social rut and discover new things in their cities.  Previous to this, Jeff was at Amazon.com, where he was Senior Vice President of Consumer Websites, Worldwide. He was responsible for the worldwide consumer website experience, including personalization, ordering/Amazon Prime, community, search, automated merchandising and online traffic (Associates, SEM/SEO).  Prior to Amazon, he worked at D. E. Shaw & Co., L.P. in New York from 1992 to 1997, where he joined as a Software Engineer. He served as the Vice President at Shaw, responsible for front office software infrastructure. He has been an Independent Director at Become, Inc., since September 2010.",http://twitter.com/jeffholden,https://www.facebook.com/jeffholden,http://www.linkedin.com/in/jeffholden,Founder and CEO,Atomic Machines,,,"18,820"
Jeff Meyerson,https://www.crunchbase.com/person/jeff-meyerson,1,,"San Francisco, California, United States",,https://twitter.com/the_prion?lang=en,,https://www.linkedin.com/in/jeff-meyerson-05275716,,,Individual/Angel,,"84,905"
Jeffrey Blackburn,https://www.crunchbase.com/person/jeffrey-blackburn,2,1,"Seattle, Washington, United States",,http://twitter.com/jeffblackburn,,https://www.linkedin.com/in/jeff-b-b033a3/,"SVP, WW Business Development",Amazon,Individual/Angel,Seed,"132,094"
Jeffrey Wilke,https://www.crunchbase.com/person/jeffrey-wilke,23,2,"Seattle, Washington, United States","Jeff Wilke has served as Amazon’s CEO Worldwide Consumer since April 2016. He leads Amazon Stores, Prime, operations, technology, and marketing. He joined Amazon in 1999 to lead global operations. Prior to Amazon, he was vice president and general manager of pharmaceutical fine chemicals at AlliedSignal (now Honeywell). He spent the preceding six years in a variety of operations and general management assignments in the chemical, polymer, and electronics industries. He began his working career writing code and managing software development projects at Andersen Consulting (now Accenture). He is a 1993 graduate of the Massachusetts Institute of Technology (MIT) Leaders for Global Operations program, where he earned an MBA and an S.M. in chemical engineering. He also holds a BSE degree in chemical engineering, summa cum laude, from Princeton University. He serves as the chairman of the governing board for MIT’s Leaders for Global Operations program. Mr. Wilke was born and raised in Pittsburgh, Pennsylvania. He spent many evenings as a teenager writing code, and currently serves on the board of Code.org.",https://twitter.com/jeffawilke,,https://www.linkedin.com/in/jeff-wilke-a338879,CEO of Worldwide Consumer,Amazon,Individual/Angel,Seed,"19,427"
Jerrin James,https://www.crunchbase.com/person/jerrin-james,,,"San Francisco, California, United States","Jerrin James, Co-founder & COO of Food Rocket Ex - Amazon | Ex - Facebook | Ex - Groupon | Last Mile Expert | Six Sigma Black-Belt   Exceptional data-driven, highly analytical and technological operations leader and change agent with unusually diverse global experience, James, has a career that displays a consistent track record of positive results and transformation accomplished through leadership roles in different organizations, including technology giants such as Amazon, Facebook, and Groupon. At Amazon, James led operations for multiple fulfillment centers, was in charge of productivity improvements for the Amazon Sortable Network, and launched multiple FCs. James still holds the record to ship out the most number of units out of a single day during peak season at one of Amazon’s legacy buildings.  At Facebook, James led Global Logistics and Supply Chain Ops including Global Sourcing, Procurement, FC Operations, Deployment, Transportation, Trade & Compliance and Reverse Logistics, managing a ~$500mm spend.  Most recently, James was COO at Driven Deliveries building California’s largest vertically integrated last-mile operator for cannabis from the ground up, servicing consumers all over California, the largest market, in under 60 minutes. James played an instrumental role in raising the first major investment for the company to scale its growth, taking the company public as well as an exit through an acquisition in just under 2 years.",,,https://www.linkedin.com/in/jerrin-james-10578091,,,,,"33,694"
Jerry Gupta,https://www.crunchbase.com/person/jerry-gupta,1,,"Boston, Massachusetts, United States","Jerry Gupta is a Product and Business Developer of Stealth Mode Startup Company. Prior to this, he has been the Global Head of Program Management – CSX of Amazon. Jerry has contributed his worked at several companies, including Liberty Mutual Insurance as Director and later on Senior Director of Innovation and Ventures, Gigaplex Digital Media as Advisor and Co-Founder, Free Flow Power as Director of Finance and M&A, and Baystate Biofuels as Co-founder. Jerry was given an Inventor’s Award by Liberty Mutual in 2014 and he was the Think Bigger Hackaton Winner of Amazon in 2015. Jerry received his degree in MBA – Management at Massachusetts Institute of Technology - Sloan School of Management and Master of Science  in Predictive Analytics (Big Data) at Northwestern University.",,,https://www.linkedin.com/in/jerry-gupta-a46406,Product and Business Developer,Stealth Mode Startup,Individual/Angel,,"93,878"
Jesse Robbins,https://www.crunchbase.com/person/jesse-robbins,21,9,"San Francisco, California, United States","Jesse Robbins is Founder & Executive Chairman of Orion Labs. Jesse is a venture partner at Heavybit, the venture fund and program that helps developer and infrastructure tools startups succeed. Jesse is an early investor and advisor in companies like Fastly, Pagerduty, Launchdarkly, Sanity, and Instacart.  Prior to Orion, Jesse was founder & CEO of Chef, the pioneer in cloud automation, used by thousands of companies like Amazon, Facebook, Google, and Microsoft. He also founded the Velocity Web Performance & Operations Conference and edited the Web Operations book. He is credited as a creator of the DevOps movement. Prior to founding Chef, Robbins served as Amazon’s “Master of Disaster” where he was responsible for Website Availability for every property bearing the Amazon brand. Jesse is a volunteer Firefighter/EMT and Emergency Manager.",http://twitter.com/jesserobbins,,http://www.linkedin.com/in/jesserobbins,Partner,Heavybit,"Investment Partner, Individual/Angel","Early Stage Venture, Late Stage Venture, Seed, Venture","24,068"
Jessica Jackley,https://www.crunchbase.com/person/jessica-jackley,,,"Los Angeles, California, United States","Jessica is a Founder and CEO of ProFounder (www.profounder.com), a platform providing new ways for small business entrepreneurs in the U.S. to access start-up capital through crowdfunding and community involvement. ProFounder will launch to the public in the fall of 2010. Prior to ProFounder, Jessica was a Founder, Chief Marketing Officer, and Director of Kiva (www.kiva.org), the world's first p2p microlending website. Kiva lets users lend as little as $25 to poor entrepreneurs around the world, providing affordable capital for them to start or expand microenterprises. Since its founding in October 2005, Kiva has facilitated over $160 in loans across 205 countries. Jessica has also worked with the Stanford Center for Social Innovation, Amazon.com, Potentia Media, the International Foundation, World Vision, and others.  Jessica is an active advisor and board member on a number of organizations championing microfinance, womenâ€™s issues, tech, and the arts. Jessica holds an MBA from the Stanford Graduate School of Business with Certificates in Global Management and Public Management, and a BA in Philosophy and Political Science from Bucknell University. Jessica lives in Los Angeles and San Francisco, and is a trained yoga instructor and avid surfer.",http://twitter.com/jessicajackley,http://www.facebook.com/jessica.jackley,http://www.linkedin.com/in/jessicajackley,CEO & Founder,Alltruists,Investment Partner,,"59,153"
Jim Grube,https://www.crunchbase.com/person/jim-grube,1,,"Portland, Oregon, United States","Jim Grube currently serves as Audit Committee Chair on the Board of Directors for GameStop.  Previously, he served at Vacasa as their chief financial officer. Prior to joining Vacasa, Jim spent nearly four years with Chewy as the private startup's first CFO.",,,http://www.linkedin.com/in/jim-grube-7141931,,,Individual/Angel,,"50,013"
John Pollard,https://www.crunchbase.com/person/john-pollard,,,"Seattle, Washington, United States",,http://twitter.com/jfpollard,http://www.facebook.com/jfpollard,http://www.linkedin.com/in/jfpollard,Senior Vice President - Client Experience Group,Lighthouse,,,"69,600"
John W. Gibbons,https://www.crunchbase.com/person/john-gibbons,1,,"Los Angeles, California, United States","John W. Gibbons is the President & Chief Product officer at Libsyn (OTC: LSYN) . He was previously the Chief Executive Officer of Pocket Casts. With a career that includes 14 years at Amazon.com and the Internet Movie Database (IMDb), founding a venture-backed data company focused on digital video creators, and helping disrupt the digital movie ticketing industry with the backing of the likes of Disney and Fidelity, John’s passions lie in user growth and monetization for digital entertainment products.",http://twitter.com/gibbonsdna,https://www.facebook.com/gibbonsdna,http://www.linkedin.com/in/gibbonsdna,"President, CPO",Libsyn,Individual/Angel,Seed,"78,046"
Joulliana II,https://www.crunchbase.com/person/joulliana-ii,,,,Web designer . Google API developer . Products manager . Manager at Neon Music Network .,,,,,,,Seed,"182,294"
Julie Sandler,https://www.crunchbase.com/person/julie-sandler,,,"Seattle, Washington, United States",Presidential Leadership Scholar at Presidential Leadership Scholars.,http://twitter.com/juliesandler,,http://www.linkedin.com/in/juliesandler,Co-founding General Partner and Managing Director,Pioneer Square Labs,Investment Partner,,"40,587"
Kadir Rathnavelu,https://www.crunchbase.com/person/kadir-rathnavelu,1,,"Seattle, Washington, United States",,http://twitter.com/krathnavelu,,http://www.linkedin.com/in/krathnavelu,"Senior Manager, Product Management (Technical)",Amazon,Individual/Angel,Seed,"83,417"
Karim Bhalwani,https://www.crunchbase.com/person/karim-bhalwani,1,,"San Francisco, California, United States","I'm passionate about building and investing in developer platforms across Enterprise, FinTech and IoT.  Why developer platforms? Because if they are built to scale with purpose and values, they have the ability to democratize access and opportunity for everyone (think Slack for Enterprise, Plaid for FinTech and Samsara for IoT). I'm an angel investor/advisor to three startups: DarwinAI, ScaleFlux and Sudden Coffee. I also serve as an advisor to MBAs at Berkeley Haas.  Most recently, I was on the business development team at Amazon in Seattle focusing on Alexa Smart Home. I worked on making Alexa the operating system for every property- hotel, apartment and home.  Previously managed Business Development at a startup in NYC called CommonBond, a marketplace lending company that's originated over a billion dollars in student loan refinancing. Previously at another startup in San Francisco called Yodlee Interactive, the world’s first financial cloud for money management. Key leader in taking Yodlee public in 2014.  Also served in management consulting roles at Capgemini, Mercer, Disney and Warner Bros. Specialties: Developer platforms, web services APIs, enterprise software, FinTech, smart home, voice-powered tech, new business development, complex sales, venture capital, incubators, online networks, contract negotiation, building and scaling organizations, mentoring young professionals and volunteering",https://twitter.com/KarimBhalwani,,https://www.linkedin.com/in/karimbhalwani,,,Individual/Angel,,"64,498"
Karthik Kumar Viswanathan,https://www.crunchbase.com/person/karthik-kumar-viswanathan,,,"Vancouver, British Columbia, Canada",,http://twitter.com/kvisw,http://www.facebook.com/vkaku,https://www.linkedin.com/in/vkaku/?originalSubdomain=in,,,,,"193,401"
